Object ID,CNN Segment ID,Code,Cross Street 1,Cross Street 2,Detection Type,Cross Street 3,Supervisor District,Cross Street 4,Equipment Type,Vehicle Actuation,Pedestrian Signal,Pedestrian Actuation,Preemption Priority,Upgraded,Year of Contract,Last Upgraded,New Signals Project,Modification Project,Full Upgrade Project,Beacon Flasher,Funding Source,Red Light Camera,Start Year,CALTRANS Route,Maintained CALTRANS,Percent Caltrans Maintenance,Maintained SF,Percent SF Maintenance,Percent Port Maintenance,Last Edited Date,Geom
3429,25174000,Fix,BUSH,HYDE,OPTICOM, ,3, ,SIGNAL, ,ALL, ,FIRE PREEMPT,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7891151214, -122.417030095)"
3430,25204000,Fix,BUSH,LARKIN, , ,3, ,SIGNAL, ,ALL, , ,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7889145574, -122.418669089)"
3431,25294000,Fix,CALIFORNIA,LARKIN, , ,3, ,SIGNAL, ,NONE, , ,NONE, , , , , , , , ,1950, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7907929997, -122.419049428)"
3432,24911000,Fix,BUSH,STOCKTON,OPTICOM, ,3, ,SIGNAL, ,ALL, ,FIRE PREEMPT,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7903734167, -122.407144931)"
3433,24910000,Fix,STOCKTON,SUTTER,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",MOD DONE, ,1999, ,DONE, , ,SALES TAX, ,1954, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7894386279, -122.406970203)"
3434,24909000,Preempt,POWELL,SUTTER,MECHANICAL, ,3, ,SIGNAL, ,ALL, ,CABLE CAR PREEMPTION,FULL DONE, , ,NONE,NONE,DONE,NONE, , ,1954, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7892305607, -122.40860826)"
3435,24720000,Preempt,KEARNY,SUTTER,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL DONE,1/02, ,NONE,NONE,DONE,NONE,SALES TAX, ,1954, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7898342855, -122.403854778)"
3436,24662000,Fix,GRANT,SUTTER,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7896365443, -122.405411888)"
3437,24741000,Fix,BUSH,GRANT, , ,3, ,SIGNAL, ,ALL, , ,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.790570184, -122.405586961)"
3438,24724000,Preempt,BUSH,KEARNY,OPTICOM, ,3, ,SIGNAL, ,ALL, ,FIRE PREEMPT,FULL DONE,10/01, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7907650427, -122.404043939)"
3439,24740000,Fix,KEARNY,PINE,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",FULL DONE,10/00, ,NONE,NONE,DONE,NONE,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.791695531, -122.40423305)"
3440,24678000,Fix,MONTGOMERY,SUTTER,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7900440432, -122.402202859)"
3441,24918000,Fix,POST,POWELL,OPTICOM, ,3, ,SIGNAL, ,ALL, ,"TSP,FIRE PREEMPT",NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7882981396, -122.408414765)"
3442,24716000,Fix,BUSH,MONTGOMERY,OPTICOM, ,3, ,SIGNAL, ,ALL, ,FIRE PREEMPT,NONE, , , , , , ,SALES TAX, ,1949, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7909735568, -122.402393617)"
3443,24726000,Fix,MONTGOMERY,PINE, , ,3, ,SIGNAL, ,ALL, , ,NONE, , , , , , ,SALES TAX, ,1954, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7919038862, -122.402584545)"
3444,24729000,Fix,CALIFORNIA,MONTGOMERY, , ,3, ,SIGNAL, ,ALL, , ,NONE, , , , , , , , ,1953, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7928561688, -122.402779984)"
3445,24685000,Fix,CALIFORNIA,SANSOME, , ,3, ,SIGNAL, ,ALL, , ,NONE, , , , , , , , ,1957, , ,, ,,,06/21/2017 12:00:00 AM +0000,"(37.7930652476, -122.401139557)"
